[0.48385158 0.09586954],[0.910706  0.3799858],[1.1852778 0.822237 ],[1.2395968 1.3431158],[1.0431676 1.881846 ],[0.57624555 2.361278  ],[-0.12275323  2.690393  ],[-0.98410124  2.8041167 ],,
[0.44338465 0.10787916],[0.8336893  0.37231398],[1.0717325 0.8041582],[1.0964427 1.2932229],[0.80398786 1.7849488 ],[0.23909189 2.2514157 ],[-0.601897   2.6130075],[-1.6118555  3.0970173],,
[0.5326405  0.11827087],[1.0465574 0.4066882],[1.4069489 0.8769293],[1.5196197 1.5374632],[1.3827478 2.3386407],[0.9456691 3.1506896],[0.19184172 3.9630995 ],[-0.7412194  4.7405334],,
[0.4920891  0.08054733],[0.9482605  0.34273434],[1.3116002 0.8071599],[1.515937  1.4987679],[1.5342536 2.4932804],[1.2651063 3.590794 ],[0.7334517 4.726376 ],[0.05980447 5.7777348 ],,
[0.33566535 0.08404112],[0.65001696 0.32329464],[0.8823985  0.81708145],[0.87345946 1.4965925 ],[0.56564206 2.3635507 ],[-0.04094414  3.2124524 ],[-0.9203439  4.1057644],[-1.8707669  4.9749203],,
[0.4435657  0.11987305],[0.83223397 0.3454647 ],[1.1174192 0.7201538],[1.2193214 1.1626663],[1.1621068 1.6775203],[0.9514531 2.2668638],[0.51482236 2.847683  ],[-0.21928765  3.1813383 ],,
[0.54731894 0.11864901],[0.94418937 0.37012672],[1.1591749 0.7022352],[1.1846057 1.0908914],[0.99238104 1.4556837 ],[0.5672407 1.850029 ],[-0.13464347  2.1628819 ],[-0.9848999  2.3614025],,
[0.30135787 0.07966709],[0.56914634 0.25108242],[0.7767519 0.6380024],[0.90797967 1.2736292 ],[0.88383204 2.0488071 ],[0.5945963 2.8935432],[0.03083698 3.6585512 ],[-0.68820506  4.3095255 ],,
[0.3749624  0.09041929],[ 0.8970784  -0.00204515],[ 1.4358363  -0.46731663],[ 1.8449955 -1.3157992],[ 1.9299619 -2.466702 ],[ 1.8331687 -3.7450767],[ 1.6756545 -5.0363646],[ 1.5254855 -6.3138533],,
[0.47769547 0.08112144],[0.9047365  0.35294104],[1.2210598 0.8456526],[1.3341992 1.4899359],[1.200072 2.269898],[0.88857406 3.1054997 ],[0.42643443 3.9046535 ],[-0.09703413  4.5300765 ],,
[0.70172834 0.11060858],[1.4553375  0.49711323],[2.1726882 1.2871871],[2.8939848 2.3995247],[3.5634513 3.5636635],[4.2370214 4.69832  ],[5.023416 5.752764],[5.9065194 6.6908116],,
[0.51533467 0.12178612],[0.95485854 0.42832518],[1.2194421  0.91475487],[1.2808106 1.5432563],[1.0531487 2.2452483],[0.59840775 2.897345  ],[-0.03775783  3.4243398 ],[-0.79802877  3.7917151 ],,
[0.05924672 0.02033806],[0.17277062 0.00533009],[ 0.29208428 -0.04954743],[ 0.42661035 -0.23815584],[ 0.39595968 -0.6160214 ],[ 0.18157549 -1.0319538 ],[-0.22747092 -1.4114032 ],[-0.7567297 -1.70893  ],,
[0.21575183 0.03630829],[0.43985158 0.16315746],[0.59307086 0.47232533],[0.59068286 0.98794794],[0.3168428 1.6087489],[-0.23874968  2.3833518 ],[-1.0069401  3.308341 ],[-1.7889756  4.2198143],,
[0.92008024 0.07864809],[1.9257225  0.26843834],[3.007249  0.6094909],[4.0523705 1.0975924],[5.0149426 1.6920762],[5.915987 2.359033],[6.726622  3.0771685],[7.445195  3.8265357],,
[0.4798381 0.1197691],[0.97852206 0.0897882 ],[ 1.3933399  -0.22521377],[ 1.7020978  -0.91726923],[ 1.8439603 -1.8951905],[ 1.8778136 -2.953581 ],[ 1.8641267 -3.979061 ],[ 1.9314982 -4.940191 ],,
[0.37276232 0.05200005],[0.68004274 0.14482498],[0.8638396  0.27699852],[0.92866087 0.5008426 ],[0.90904725 0.8809309 ],[0.8487756 1.406218 ],[0.7349278 2.0243669],[0.56351125 2.688045  ],,
[0.7721052  0.06358337],[1.6684164  0.01341033],[ 2.559523   -0.18872285],[ 3.3716571 -0.4634459],[ 4.133196   -0.75274086],[ 4.797439  -1.0210695],[ 5.3632736 -1.1456218],[ 5.8198476 -1.1985097],,
[0.44495016 0.13903332],[1.0830237 0.0037446],[ 1.7268432 -0.5881524],[ 2.1429045 -1.5188615],[ 2.2048347 -2.612532 ],[ 2.0334094 -3.67834  ],[ 1.7773912 -4.600957 ],[ 1.4487363 -5.437031 ],,
[0.40834183 0.10495996],[0.76615995 0.3554039 ],[0.9722847  0.81362724],[0.9919845 1.4164038],[0.74229413 2.0554342 ],[0.19281529 2.6034913 ],[-0.60220456  3.0820708 ],[-1.4916013  3.4159794],,
[0.6758218  0.09995079],[1.3894694  0.52883434],[2.084601  1.3552837],[2.7069194 2.444562 ],[3.2830946 3.603938 ],[3.8612843 4.715165 ],[4.535803  5.6714573],[5.2664223 6.47054  ],,
[0.62034297 0.08683968],[1.2018745 0.5252423],[1.7130073 1.3486958],[2.1604743 2.4670897],[2.5465677 3.739439 ],[2.8819087 5.047319 ],[3.258035  6.2536836],[3.6781938 7.3772416],,
[0.5567279  0.11496735],[1.1618497  0.04948592],[ 1.7088007  -0.33821177],[ 2.0966136 -1.1314695],[ 2.0954998 -2.2503076],[ 1.7089777 -3.4244564],[ 1.0759054 -4.452446 ],[ 0.3774956 -5.343984 ],,
[0.8008366  0.06336212],[ 1.8216591  -0.06172085],[ 2.9495208 -0.2748494],[ 4.124911  -0.3202989],[ 5.3055587  -0.13733602],[6.4890866 0.262182 ],[7.5793476 0.8819673],[8.539836  1.6314199],,
[0.94806504 0.13139296],[2.0539246 0.5593419],[3.1601455 1.246985 ],[4.222326  2.0919728],[5.2412176 2.9981503],[6.1864367 3.93998  ],[7.051987 4.900941],[7.8890777 5.8960433],,
[1.0254728  0.14571571],[2.0948803  0.55494595],[3.1844735 1.1709042],[4.2439375 1.8798375],[5.2426014 2.5431585],[6.193767 3.113505],[7.1558876 3.4878306],[8.094108  3.6603885],,
[0.64446205 0.06869698],[1.3336631 0.3699746],[1.9772698 1.0233998],[2.5594823 1.9518299],[3.0568857 3.0699377],[3.4848661 4.269639 ],[3.862246 5.510534],[4.274457 6.736158],,
[0.45485353 0.06181526],[0.9143576 0.4165225],[1.4497013 1.1294694],[2.011075  2.0249095],[2.5643408 2.9947743],[3.03218   3.9729042],[3.4389243 4.817587 ],[3.8846586 5.5583515],,
[1.0795221  0.14600182],[2.2906785  0.49346304],[3.5833428  0.94951534],[4.8613997 1.392745 ],[6.1231365 1.7456665],[7.3906345 2.0070443],[8.6137   2.197248],[9.764556  2.3426476],,
[0.67328036 0.09378576],[1.4592206 0.5111847],[2.299018  1.2885175],[3.0844154 2.304028 ],[3.8305361 3.4250016],[4.5686407 4.575467 ],[5.3514347 5.7273116],[6.159753  6.8652043],,
[1.1694739  0.14127779],[2.4455457  0.36735964],[3.780625 0.622952],[5.1141963 0.8485999],[6.3890553 1.0352354],[7.6334133 1.1992502],[8.858724  1.3425145],[10.054474   1.4502516],,
